employee_id,first_name,last_name,department,job_title,risk_score,risk_label,top_factor_1,top_factor_2,top_factor_3,age,length_of_hire,salary,model_version
EMP01789,Catherine,Jones,Operations,Logistics Coordinator,0.0266,Low,Short Tenure,Length Of Hire,Year Hired,52.3,1.3,62035,XGBoost
EMP01643,Ian,Reese,Operations,Logistics Coordinator,0.0231,Low,Short Tenure,Length Of Hire,Year Hired,25.9,1.3,62733,XGBoost
EMP01361,Jessica,Jarvis,Operations,Operations Analyst,0.0217,Low,Short Tenure,Length Of Hire,Year Hired,50.7,1.4,63964,XGBoost
EMP08186,Michelle,Blake,Finance,Accountant,0.0205,Low,Short Tenure,Length Of Hire,Year Hired,49.6,1.3,66469,XGBoost
EMP03508,Mary,Arnold,Operations,Logistics Coordinator,0.0191,Low,Short Tenure,Length Of Hire,Year Hired,62.0,1.3,66287,XGBoost
EMP05939,Lee,Rogers,Operations,Inventory Specialist,0.0191,Low,Short Tenure,Length Of Hire,Year Hired,56.2,1.3,65172,XGBoost
EMP03954,Tyler,Perez,Sales,Sales Representative,0.0188,Low,Short Tenure,Length Of Hire,Year Hired,50.0,10.9,67838,XGBoost
EMP02343,Frank,Luna,Sales,Sales Representative,0.0182,Low,Short Tenure,Length Of Hire,Year Hired,23.0,1.3,68718,XGBoost
EMP07183,Martha,Torres,Customer Service,Customer Service Representative,0.0175,Low,Short Tenure,Length Of Hire,Year Hired,36.5,1.4,63850,XGBoost
EMP01231,Kristi,Dillon,Operations,Inventory Specialist,0.016,Low,Short Tenure,Length Of Hire,Year Hired,53.0,1.3,61726,XGBoost
EMP04972,Colton,Williams,Operations,Inventory Specialist,0.0142,Low,Short Tenure,Length Of Hire,Year Hired,43.9,1.3,58842,XGBoost
EMP01690,Cheryl,Sullivan,Customer Service,Help Desk Technician,0.0139,Low,Short Tenure,Length Of Hire,Year Hired,50.7,1.3,60124,XGBoost
EMP08522,Leslie,Edwards,Operations,Logistics Coordinator,0.0136,Low,Short Tenure,Length Of Hire,Year Hired,49.7,1.3,65444,XGBoost
EMP07182,Kelly,Ramos,Sales,Sales Consultant,0.0135,Low,Short Tenure,Length Of Hire,Year Hired,52.0,1.3,105725,XGBoost
EMP05177,Gregory,Smith,Finance,Accounts Payable Specialist,0.0131,Low,Short Tenure,Length Of Hire,Year Hired,30.5,1.3,58701,XGBoost
EMP05848,Robert,Dunn,Marketing,Content Creator,0.0124,Low,Short Tenure,Length Of Hire,Year Hired,35.6,1.4,61938,XGBoost
EMP01790,Samantha,Rios,Operations,Inventory Specialist,0.0121,Low,Short Tenure,Length Of Hire,Year Hired,52.8,9.3,62144,XGBoost
EMP02250,Melissa,Miller,Finance,Accountant,0.0121,Low,Short Tenure,Length Of Hire,Year Hired,38.0,1.3,79314,XGBoost
EMP04684,Kimberly,Gonzalez,Sales,Sales Specialist,0.012,Low,Short Tenure,Length Of Hire,Year Hired,31.7,10.5,68545,XGBoost
EMP08933,Rachel,Martin,Customer Service,Help Desk Technician,0.0117,Low,Short Tenure,Length Of Hire,Year Hired,24.9,1.3,58382,XGBoost
EMP08622,Katie,Jackson,Finance,Financial Analyst,0.0116,Low,Short Tenure,Length Of Hire,Year Hired,59.3,1.3,86871,XGBoost
EMP01358,Joseph,Cruz,Customer Service,Customer Service Representative,0.0116,Low,Short Tenure,Length Of Hire,Year Hired,51.5,1.4,66389,XGBoost
EMP08336,John,Estrada,IT,System Administrator,0.0115,Low,Short Tenure,Length Of Hire,Year Hired,27.7,1.3,97699,XGBoost
EMP04717,Nancy,Holt,Operations,Logistics Coordinator,0.0114,Low,Short Tenure,Length Of Hire,Year Hired,36.2,1.4,60567,XGBoost
EMP07999,Donna,Suarez,Sales,Sales Representative,0.0111,Low,Short Tenure,Length Of Hire,Year Hired,35.3,9.3,61639,XGBoost
EMP02157,Marvin,Brown,Sales,Sales Specialist,0.011,Low,Short Tenure,Length Of Hire,Year Hired,45.1,1.4,70973,XGBoost
EMP06738,Heather,Martinez,Operations,Inventory Specialist,0.0104,Low,Short Tenure,Length Of Hire,Year Hired,24.1,1.3,65187,XGBoost
EMP00365,Mary,Fuller,IT,System Administrator,0.0103,Low,Short Tenure,Length Of Hire,Year Hired,60.1,9.3,78950,XGBoost
