employee_id,first_name,last_name,full_name,gender,birthdate,hiredate,termdate,department,job_title,state,city,education_level,salary,status,location,age,length_of_hire,attrition_risk_score,attrition_risk_label,top_factor_1,top_factor_2,top_factor_3,market_salary_mid,salary_vs_market_pct
EMP00001,Danielle,Johnson,Danielle Johnson,Female,1980-02-13,2016-04-16,2021-05-07,Customer Service,Help Desk Technician,New York,New York City,High School,81552,Terminated,HQ,46,5,0.0,N/A,,,,,
EMP00002,John,Taylor,John Taylor,Male,1987-09-22,2017-02-09,,IT,System Administrator,North Carolina,Charlotte,Bachelor,107520,Active,Branch,38,9,0.0,N/A,,,,,
EMP00003,Erica,Mcclain,Erica Mcclain,Male,1994-05-19,2016-02-03,2021-06-03,Operations,Logistics Coordinator,New York,New York City,Bachelor,61104,Terminated,HQ,31,5,0.0,N/A,,,,,
EMP00004,Brittany,Johnson,Brittany Johnson,Male,1980-04-18,2016-02-06,2018-06-11,Operations,Inventory Specialist,New York,New York City,Bachelor,73770,Terminated,HQ,45,2,0.0,N/A,,,,,
EMP00005,Jeffery,Wagner,Jeffery Wagner,Female,1985-04-07,2015-01-11,,Operations,Operations Analyst,New York,New York City,Bachelor,55581,Active,HQ,40,11,0.0,N/A,,,,,
EMP00006,Anna,Baldwin,Anna Baldwin,Female,1988-05-31,2022-09-30,,Operations,Operations Analyst,New York,New York City,Bachelor,73800,Active,HQ,37,3,0.0,N/A,,,,,
EMP00007,Amy,Robinson,Amy Robinson,Male,1991-07-16,2020-08-16,2021-12-02,Finance,Accountant,New York,New York City,Bachelor,68181,Terminated,HQ,34,1,0.0,N/A,,,,,
EMP00008,Joshua,Booth,Joshua Booth,Female,1995-09-19,2022-10-22,,Finance,Accounts Payable Specialist,New York,New York City,Bachelor,54499,Active,HQ,30,3,0.0,N/A,,,,,
EMP00009,Linda,Wolfe,Linda Wolfe,Male,2002-05-11,2017-05-13,,Operations,Inventory Specialist,New York,New York City,High School,57340,Active,HQ,23,8,0.0,N/A,,,,,
EMP00010,Joshua,Lewis,Joshua Lewis,Female,1980-11-21,2018-10-24,,Operations,Logistics Coordinator,New York,New York City,Bachelor,54065,Active,HQ,45,7,0.0,N/A,,,,,
EMP00011,Matthew,Davis,Matthew Davis,Female,1994-02-08,2021-02-07,2021-06-08,Marketing,SEO Specialist,New York,New York City,High School,83262,Terminated,HQ,32,0,0.0,N/A,,,,,
EMP00012,Michael,Cooper,Michael Cooper,Female,1974-04-26,2020-04-12,,HR,Recruiter,New York,New York City,High School,61651,Active,HQ,51,5,0.0,N/A,,,,,
EMP00013,Lindsay,Blair,Lindsay Blair,Male,1967-05-26,2017-07-28,,Operations,Operations Analyst,New York,New York City,Bachelor,75509,Active,HQ,58,8,0.0,N/A,,,,,
EMP00014,David,Nielsen,David Nielsen,Female,2001-07-26,2020-01-31,,Customer Service,Help Desk Technician,New York,New York City,High School,67011,Active,HQ,24,6,0.0,N/A,,,,,
EMP00015,Andrea,Calderon,Andrea Calderon,Male,1987-05-22,2022-08-29,,IT,IT Support Specialist,Michigan,Grand Rapids,Bachelor,60136,Active,Branch,38,3,0.0,N/A,,,,,
EMP00016,Nicole,Ward,Nicole Ward,Male,1963-12-13,2023-03-16,2023-12-09,Operations,Logistics Coordinator,New York,New York City,Bachelor,67552,Terminated,HQ,62,0,0.0,N/A,,,,,
EMP00017,Janet,Williams,Janet Williams,Male,2002-12-26,2021-03-30,,Operations,Inventory Specialist,Michigan,Grand Rapids,Bachelor,59934,Active,Branch,23,5,0.0,N/A,,,,,
EMP00018,Kendra,Galloway,Kendra Galloway,Female,1963-04-01,2018-11-29,2019-08-12,Sales,Sales Manager,New York,New York City,PhD,104162,Terminated,HQ,63,0,0.0,N/A,,,,,
EMP00019,Jesse,Garcia,Jesse Garcia,Male,1963-02-03,2016-04-17,,Customer Service,Customer Service Representative,New York,New York City,Bachelor,63873,Active,HQ,63,9,0.0,N/A,,,,,
EMP00020,Shawn,Flowers,Shawn Flowers,Male,1959-06-28,2022-03-05,2022-01-09,IT,IT Support Specialist,Michigan,Warren,Bachelor,66250,Terminated,Branch,66,0,0.0,N/A,,,,,
EMP00021,Mitchell,Clark,Mitchell Clark,Male,1973-09-14,2017-04-14,,Customer Service,Support Specialist,New York,New York City,Bachelor,61729,Active,HQ,52,8,0.0,N/A,,,,,
EMP00022,Jacqueline,Sutton,Jacqueline Sutton,Female,1979-06-29,2017-01-28,2022-06-08,Sales,Sales Manager,New York,New York City,Master,84046,Terminated,HQ,46,5,0.0,N/A,,,,,
EMP00023,Chelsea,Jackson,Chelsea Jackson,Male,1994-07-10,2017-10-11,2018-09-04,Sales,Sales Specialist,North Carolina,Raleigh,PhD,69318,Terminated,Branch,31,0,0.0,N/A,,,,,
EMP00024,John,Ford,John Ford,Male,2002-07-15,2019-04-15,2019-12-10,Sales,Sales Consultant,Pennsylvania,Philadelphia,Bachelor,99002,Terminated,Branch,23,0,0.0,N/A,,,,,
EMP00025,Veronica,Bowman,Veronica Bowman,Male,1990-04-16,2017-08-05,2018-06-02,Operations,Logistics Coordinator,New York,New York City,Bachelor,69163,Terminated,HQ,35,0,0.0,N/A,,,,,
EMP00026,Jeffrey,Nguyen,Jeffrey Nguyen,Male,1992-12-18,2020-10-25,,Operations,Inventory Specialist,New York,New York City,Bachelor,65830,Active,HQ,33,5,0.0,N/A,,,,,
EMP00027,Kimberly,Perez,Kimberly Perez,Male,1970-11-19,2017-01-13,,Marketing,Content Creator,New York,New York City,Bachelor,68419,Active,HQ,55,9,0.0,N/A,,,,,
EMP00028,Linda,Morales,Linda Morales,Male,1993-04-20,2020-01-26,2021-09-04,Sales,Sales Specialist,New York,New York City,Bachelor,71110,Terminated,HQ,32,1,0.0,N/A,,,,,
EMP00029,Jason,Hahn,Jason Hahn,Male,1978-01-25,2017-12-07,2018-04-06,IT,System Administrator,Ohio,Cleveland,Bachelor,84205,Terminated,Branch,48,0,0.0,N/A,,,,,
EMP00030,Jennifer,Lewis,Jennifer Lewis,Male,1982-09-18,2018-07-12,2019-08-01,Sales,Sales Specialist,New York,New York City,Master,67953,Terminated,HQ,43,1,0.0,N/A,,,,,
EMP00031,Randall,Rocha,Randall Rocha,Male,1960-09-25,2016-06-27,2021-10-05,IT,IT Support Specialist,New York,New York City,High School,58445,Terminated,HQ,65,5,0.0,N/A,,,,,
EMP00032,Douglas,Taylor,Douglas Taylor,Female,1992-07-17,2017-10-17,,Customer Service,Customer Service Representative,New York,New York City,Bachelor,58697,Active,HQ,33,8,0.0,N/A,,,,,
EMP00033,Anna,Baker,Anna Baker,Male,1970-05-12,2020-08-15,,Sales,Sales Specialist,New York,New York City,PhD,77156,Active,HQ,55,5,0.0,N/A,,,,,
EMP00034,Ross,Silva,Ross Silva,Female,2002-11-29,2024-05-20,,Sales,Sales Specialist,New York,New York City,Bachelor,81038,Active,HQ,23,1,0.0,N/A,,,,,
EMP00035,Jeffrey,Bright,Jeffrey Bright,Male,1980-05-21,2017-07-17,,Finance,Accounts Payable Specialist,New York,New York City,Bachelor,71339,Active,HQ,45,8,0.0,N/A,,,,,
EMP00036,Trevor,Campos,Trevor Campos,Male,1983-02-19,2022-12-01,,Operations,Operations Analyst,New York,New York City,Master,81316,Active,HQ,43,3,0.0,N/A,,,,,
EMP00037,Daniel,Burton,Daniel Burton,Female,2001-06-23,2022-11-04,,IT,Software Developer,New York,New York City,Bachelor,96947,Active,HQ,24,3,0.0,N/A,,,,,
EMP00038,Erin,Carlson,Erin Carlson,Male,1984-03-20,2019-05-30,,Operations,Logistics Coordinator,New York,New York City,Bachelor,67437,Active,HQ,42,6,0.0,N/A,,,,,
EMP00039,Patrick,Ferrell,Patrick Ferrell,Female,1969-05-20,2018-07-24,,Sales,Sales Consultant,Michigan,Detroit,PhD,116328,Active,Branch,56,7,0.0,N/A,,,,,
EMP00040,John,Tran,John Tran,Male,1972-01-15,2017-01-05,,Operations,Logistics Coordinator,Virginia,Norfolk,Bachelor,67630,Active,Branch,54,9,0.0,N/A,,,,,
EMP00041,Erin,Wilson,Erin Wilson,Female,1981-08-15,2020-12-09,2021-11-12,Operations,Logistics Coordinator,New York,New York City,Bachelor,53898,Terminated,HQ,44,0,0.0,N/A,,,,,
EMP00042,Amanda,Adams,Amanda Adams,Female,2003-11-10,2022-09-06,2023-05-03,Sales,Sales Specialist,New York,New York City,Bachelor,61534,Terminated,HQ,22,0,0.0,N/A,,,,,
EMP00043,Matthew,Carter,Matthew Carter,Male,1979-11-26,2024-03-02,,Marketing,SEO Specialist,New York,New York City,High School,78184,Active,HQ,46,2,0.0,N/A,,,,,
EMP00044,Shawn,Mckay,Shawn Mckay,Female,1980-04-18,2015-12-07,,Operations,Inventory Specialist,New York,New York City,Bachelor,56559,Active,HQ,45,10,0.0,N/A,,,,,
EMP00045,Jennifer,Stanton,Jennifer Stanton,Male,1959-12-09,2017-10-23,2018-02-12,Customer Service,Support Specialist,New York,New York City,Bachelor,68635,Terminated,HQ,66,0,0.0,N/A,,,,,
EMP00046,Guy,Gaines,Guy Gaines,Male,2002-10-15,2016-12-04,,Sales,Sales Representative,New York,New York City,Bachelor,80367,Active,HQ,23,9,0.0,N/A,,,,,
EMP00047,Colleen,Skinner,Colleen Skinner,Female,1981-12-01,2018-07-16,2019-12-01,Operations,Inventory Specialist,New York,New York City,Bachelor,63169,Terminated,HQ,44,1,0.0,N/A,,,,,
EMP00048,Chelsea,Hernandez,Chelsea Hernandez,Female,1982-10-19,2016-10-23,2019-05-06,Sales,Sales Consultant,Pennsylvania,Philadelphia,Master,71142,Terminated,Branch,43,2,0.0,N/A,,,,,
EMP00049,Evan,Ashley,Evan Ashley,Male,1983-09-16,2017-12-25,2018-07-12,Operations,Inventory Specialist,New York,New York City,High School,58830,Terminated,HQ,42,0,0.0,N/A,,,,,
EMP00050,Alyssa,Smith,Alyssa Smith,Female,1970-04-24,2024-05-05,2024-01-11,Customer Service,Customer Service Representative,Michigan,Grand Rapids,Bachelor,66218,Terminated,Branch,55,0,0.0,N/A,,,,,
EMP00051,Tracy,Rodriguez,Tracy Rodriguez,Female,1979-11-07,2022-05-21,,Marketing,SEO Specialist,New York,New York City,High School,88887,Active,HQ,46,3,0.0,N/A,,,,,
EMP00052,Natasha,Decker,Natasha Decker,Male,1959-08-05,2018-04-30,,Sales,Sales Consultant,New York,New York City,PhD,72859,Active,HQ,66,7,0.0,N/A,,,,,
EMP00053,John,Allen,John Allen,Male,1985-01-15,2017-08-09,2018-05-02,Operations,Logistics Coordinator,New York,New York City,Bachelor,67630,Terminated,HQ,41,0,0.0,N/A,,,,,
EMP00054,Stacey,Miller,Stacey Miller,Male,1991-06-21,2020-07-07,,Operations,Inventory Specialist,New York,New York City,Bachelor,61574,Active,HQ,34,5,0.0,N/A,,,,,
EMP00055,Lisa,Spence,Lisa Spence,Male,1970-08-25,2015-07-26,,IT,Software Developer,New York,New York City,Master,103756,Active,HQ,55,10,0.0,N/A,,,,,
EMP00056,Katie,Anderson,Katie Anderson,Male,1980-12-26,2017-07-04,,Operations,Logistics Coordinator,New York,New York City,Bachelor,63227,Active,HQ,45,8,0.0,N/A,,,,,
EMP00057,Stacey,Martin,Stacey Martin,Male,1993-03-27,2016-07-23,,Operations,Inventory Specialist,New York,New York City,High School,63680,Active,HQ,33,9,0.0,N/A,,,,,
EMP00058,Monique,Henderson,Monique Henderson,Female,1967-06-24,2019-03-24,,Customer Service,Help Desk Technician,New York,New York City,Bachelor,90880,Active,HQ,58,7,0.0,N/A,,,,,
EMP00059,Sarah,Campos,Sarah Campos,Female,1983-06-08,2020-09-24,2022-02-09,Marketing,Content Creator,Pennsylvania,Philadelphia,High School,52954,Terminated,Branch,42,1,0.0,N/A,,,,,
EMP00060,James,Collins,James Collins,Female,1977-05-16,2017-09-18,,Operations,Inventory Specialist,New York,New York City,Bachelor,64475,Active,HQ,48,8,0.0,N/A,,,,,
EMP00061,Debra,Kim,Debra Kim,Female,1980-01-27,2022-07-21,,Sales,Sales Specialist,Pennsylvania,Allentown,PhD,93238,Active,Branch,46,3,0.0,N/A,,,,,
EMP00062,Shannon,Wright,Shannon Wright,Female,2002-12-04,2019-01-25,2022-12-12,Operations,Inventory Specialist,Michigan,Grand Rapids,High School,58713,Terminated,Branch,23,3,0.0,N/A,,,,,
