employee_id,first_name,last_name,department,job_title,state,review_date,review_year,performance,score,yoy_delta
EMP00001,Danielle,Johnson,Customer Service,Help Desk Technician,New York,2021-12-31,2021,Poor,1.4,
EMP00001,Danielle,Johnson,Customer Service,Help Desk Technician,New York,2022-12-31,2022,Needs Improvement,1.7,0.3
EMP00001,Danielle,Johnson,Customer Service,Help Desk Technician,New York,2023-12-31,2023,Needs Improvement,2.0,0.3
EMP00002,John,Taylor,IT,System Administrator,North Carolina,2021-12-31,2021,Needs Improvement,2.4,
EMP00002,John,Taylor,IT,System Administrator,North Carolina,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00002,John,Taylor,IT,System Administrator,North Carolina,2023-12-31,2023,Good,4.0,1.3
EMP00003,Erica,Mcclain,Operations,Logistics Coordinator,New York,2021-12-31,2021,Good,4.4,
EMP00003,Erica,Mcclain,Operations,Logistics Coordinator,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00003,Erica,Mcclain,Operations,Logistics Coordinator,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00004,Brittany,Johnson,Operations,Inventory Specialist,New York,2021-12-31,2021,Excellent,5.0,
EMP00004,Brittany,Johnson,Operations,Inventory Specialist,New York,2022-12-31,2022,Excellent,4.7,-0.3
EMP00004,Brittany,Johnson,Operations,Inventory Specialist,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00005,Jeffery,Wagner,Operations,Operations Analyst,New York,2021-12-31,2021,Satisfactory,3.4,
EMP00005,Jeffery,Wagner,Operations,Operations Analyst,New York,2022-12-31,2022,Good,3.7,0.3
EMP00005,Jeffery,Wagner,Operations,Operations Analyst,New York,2023-12-31,2023,Good,4.0,0.3
EMP00006,Anna,Baldwin,Operations,Operations Analyst,New York,2021-12-31,2021,Needs Improvement,2.4,
EMP00006,Anna,Baldwin,Operations,Operations Analyst,New York,2022-12-31,2022,Satisfactory,2.7,0.3
EMP00006,Anna,Baldwin,Operations,Operations Analyst,New York,2023-12-31,2023,Satisfactory,3.0,0.3
EMP00007,Amy,Robinson,Finance,Accountant,New York,2021-12-31,2021,Good,4.4,
EMP00007,Amy,Robinson,Finance,Accountant,New York,2022-12-31,2022,Excellent,4.7,0.3
EMP00007,Amy,Robinson,Finance,Accountant,New York,2023-12-31,2023,Excellent,5.0,0.3
EMP00008,Joshua,Booth,Finance,Accounts Payable Specialist,New York,2021-12-31,2021,Good,4.4,
