employee_id,first_name,last_name,department,job_title,state,city,salary,benchmark_low,benchmark_mid,benchmark_high,salary_vs_market_pct,salary_band,source
EMP00001,Danielle,Johnson,Customer Service,Help Desk Technician,New York,New York City,81552,63087.0,72206.0,80071.0,12.9,Above Market,internal_quartiles
EMP00002,John,Taylor,IT,System Administrator,North Carolina,Charlotte,107520,76326.0,85660.0,93246.0,25.5,Above Market,internal_quartiles
EMP00003,Erica,Mcclain,Operations,Logistics Coordinator,New York,New York City,61104,59519.0,62932.0,66876.0,-2.9,At Market,internal_quartiles
EMP00004,Brittany,Johnson,Operations,Inventory Specialist,New York,New York City,73770,58011.0,61491.0,64608.0,20.0,Above Market,internal_quartiles
EMP00005,Jeffery,Wagner,Operations,Operations Analyst,New York,New York City,55581,65500.0,73677.0,81564.0,-24.6,Below Market,internal_quartiles
EMP00006,Anna,Baldwin,Operations,Operations Analyst,New York,New York City,73800,65500.0,73677.0,81564.0,0.2,At Market,internal_quartiles
EMP00007,Amy,Robinson,Finance,Accountant,New York,New York City,68181,50000.0,78000.0,120000.0,-12.6,Below Market,static
EMP00008,Joshua,Booth,Finance,Accounts Payable Specialist,New York,New York City,54499,58859.0,62109.0,65770.0,-12.3,Below Market,internal_quartiles
EMP00009,Linda,Wolfe,Operations,Inventory Specialist,New York,New York City,57340,58011.0,61491.0,64608.0,-6.8,At Market,internal_quartiles
EMP00010,Joshua,Lewis,Operations,Logistics Coordinator,New York,New York City,54065,59519.0,62932.0,66876.0,-14.1,Below Market,internal_quartiles
EMP00011,Matthew,Davis,Marketing,SEO Specialist,New York,New York City,83262,63882.0,72329.0,81352.0,15.1,Above Market,internal_quartiles
EMP00012,Michael,Cooper,HR,Recruiter,New York,New York City,61651,61651.0,65886.0,70161.0,-6.4,At Market,internal_quartiles
EMP00013,Lindsay,Blair,Operations,Operations Analyst,New York,New York City,75509,65500.0,73677.0,81564.0,2.5,At Market,internal_quartiles
EMP00014,David,Nielsen,Customer Service,Help Desk Technician,New York,New York City,67011,63087.0,72206.0,80071.0,-7.2,At Market,internal_quartiles
EMP00015,Andrea,Calderon,IT,IT Support Specialist,Michigan,Grand Rapids,60136,58138.0,61217.0,64372.0,-1.8,At Market,internal_quartiles
EMP00016,Nicole,Ward,Operations,Logistics Coordinator,New York,New York City,67552,59519.0,62932.0,66876.0,7.3,At Market,internal_quartiles
EMP00017,Janet,Williams,Operations,Inventory Specialist,Michigan,Grand Rapids,59934,58011.0,61491.0,64608.0,-2.5,At Market,internal_quartiles
EMP00018,Kendra,Galloway,Sales,Sales Manager,New York,New York City,104162,72000.0,110000.0,175000.0,-5.3,At Market,static
EMP00019,Jesse,Garcia,Customer Service,Customer Service Representative,New York,New York City,63873,57893.0,61136.0,64448.0,4.5,At Market,internal_quartiles
EMP00020,Shawn,Flowers,IT,IT Support Specialist,Michigan,Warren,66250,58138.0,61217.0,64372.0,8.2,At Market,internal_quartiles
EMP00021,Mitchell,Clark,Customer Service,Support Specialist,New York,New York City,61729,58703.0,61705.0,64849.0,0.0,At Market,internal_quartiles
EMP00022,Jacqueline,Sutton,Sales,Sales Manager,New York,New York City,84046,72000.0,110000.0,175000.0,-23.6,Below Market,static
EMP00023,Chelsea,Jackson,Sales,Sales Specialist,North Carolina,Raleigh,69318,66553.0,75297.0,82716.0,-7.9,At Market,internal_quartiles
EMP00024,John,Ford,Sales,Sales Consultant,Pennsylvania,Philadelphia,99002,76535.0,86126.0,94266.0,15.0,Above Market,internal_quartiles
EMP00025,Veronica,Bowman,Operations,Logistics Coordinator,New York,New York City,69163,59519.0,62932.0,66876.0,9.9,At Market,internal_quartiles
EMP00026,Jeffrey,Nguyen,Operations,Inventory Specialist,New York,New York City,65830,58011.0,61491.0,64608.0,7.1,At Market,internal_quartiles
EMP00027,Kimberly,Perez,Marketing,Content Creator,New York,New York City,68419,57959.0,60814.0,64409.0,12.5,Above Market,internal_quartiles
EMP00028,Linda,Morales,Sales,Sales Specialist,New York,New York City,71110,66553.0,75297.0,82716.0,-5.6,At Market,internal_quartiles
EMP00029,Jason,Hahn,IT,System Administrator,Ohio,Cleveland,84205,76326.0,85660.0,93246.0,-1.7,At Market,internal_quartiles
EMP00030,Jennifer,Lewis,Sales,Sales Specialist,New York,New York City,67953,66553.0,75297.0,82716.0,-9.8,At Market,internal_quartiles
EMP00031,Randall,Rocha,IT,IT Support Specialist,New York,New York City,58445,58138.0,61217.0,64372.0,-4.5,At Market,internal_quartiles
EMP00032,Douglas,Taylor,Customer Service,Customer Service Representative,New York,New York City,58697,57893.0,61136.0,64448.0,-4.0,At Market,internal_quartiles
EMP00033,Anna,Baker,Sales,Sales Specialist,New York,New York City,77156,66553.0,75297.0,82716.0,2.5,At Market,internal_quartiles
EMP00034,Ross,Silva,Sales,Sales Specialist,New York,New York City,81038,66553.0,75297.0,82716.0,7.6,At Market,internal_quartiles
EMP00035,Jeffrey,Bright,Finance,Accounts Payable Specialist,New York,New York City,71339,58859.0,62109.0,65770.0,14.9,Above Market,internal_quartiles
EMP00036,Trevor,Campos,Operations,Operations Analyst,New York,New York City,81316,65500.0,73677.0,81564.0,10.4,Above Market,internal_quartiles
